id,name,province_id
1,Quận Ba Đình,1
2,Quận Hoàn Kiếm,1
3,Quận Tây Hồ,1
4,Quận Long Biên,1
5,Quận Cầu Giấy,1
6,Quận Đống Đa,1
7,Quận Hai Bà Trưng,1
8,Quận Hoàng Mai,1
9,Quận Thanh Xuân,1
10,Huyện Sóc Sơn,1
11,Huyện Đông Anh,1
12,Huyện Gia Lâm,1
13,Quận Nam Từ Liêm,1
14,Huyện Thanh Trì,1
15,Quận Bắc Từ Liêm,1
16,Thành phố Hà Giang,2
17,Huyện Đồng Văn,2
18,Huyện Mèo Vạc,2
19,Huyện Yên Minh,2
20,Huyện Quản Bạ,2
21,Huyện Vị Xuyên,2
22,Huyện Bắc Mê,2
23,Huyện Hoàng Su Phì,2
24,Huyện Xín Mần,2
25,Huyện Bắc Quang,2
26,Huyện Quang Bình,2
27,Thành phố Cao Bằng,3
28,Huyện Bảo Lâm,3
29,Huyện Bảo Lạc,3
30,Huyện Thông Nông,3
31,Huyện Hà Quảng,3
32,Huyện Trà Lĩnh,3
33,Huyện Trùng Khánh,3
34,Huyện Hạ Lang,3
35,Huyện Quảng Uyên,3
36,Huyện Phục Hoà,3
37,Huyện Hoà An,3
38,Huyện Nguyên Bình,3
39,Huyện Thạch An,3
40,Thành Phố Bắc Kạn,4
41,Huyện Pác Nặm,4
42,Huyện Ba Bể,4
43,Huyện Ngân Sơn,4
44,Huyện Bạch Thông,4
45,Huyện Chợ Đồn,4
46,Huyện Chợ Mới,4
47,Huyện Na Rì,4
48,Thành phố Tuyên Quang,5
49,Huyện Lâm Bình,5
50,Huyện Nà Hang,5
51,Huyện Chiêm Hóa,5
52,Huyện Hàm Yên,5
53,Huyện Yên Sơn,5
54,Huyện Sơn Dương,5
55,Thành phố Lào Cai,6
56,Huyện Bát Xát,6
57,Huyện Mường Khương,6
58,Huyện Si Ma Cai,6
59,Huyện Bắc Hà,6
60,Huyện Bảo Thắng,6
61,Huyện Bảo Yên,6
62,Huyện Sa Pa,6
63,Huyện Văn Bàn,6
64,Thành phố Điện Biên Phủ,7
65,Thị Xã Mường Lay,7
66,Huyện Mường Nhé,7
67,Huyện Mường Chà,7
68,Huyện Tủa Chùa,7
69,Huyện Tuần Giáo,7
70,Huyện Điện Biên,7
71,Huyện Điện Biên Đông,7
72,Huyện Mường Ảng,7
73,Huyện Nậm Pồ,7
74,Thành phố Lai Châu,8
75,Huyện Tam Đường,8
76,Huyện Mường Tè,8
77,Huyện Sìn Hồ,8
78,Huyện Phong Thổ,8
79,Huyện Than Uyên,8
80,Huyện Tân Uyên,8
81,Huyện Nậm Nhùn,8
82,Thành phố Sơn La,9
83,Huyện Quỳnh Nhai,9
84,Huyện Thuận Châu,9
85,Huyện Mường La,9
86,Huyện Bắc Yên,9
87,Huyện Phù Yên,9
88,Huyện Mộc Châu,9
89,Huyện Yên Châu,9
90,Huyện Mai Sơn,9
91,Huyện Sông Mã,9
92,Huyện Sốp Cộp,9
93,Huyện Vân Hồ,9
94,Thành phố Yên Bái,10
95,Thị xã Nghĩa Lộ,10
96,Huyện Lục Yên,10
97,Huyện Văn Yên,10
98,Huyện Mù Căng Chải,10
99,Huyện Trấn Yên,10
100,Huyện Trạm Tấu,10
101,Huyện Văn Chấn,10
102,Huyện Yên Bình,10
103,Thành phố Hòa Bình,11
104,Huyện Đà Bắc,11
105,Huyện Kỳ Sơn,11
106,Huyện Lương Sơn,11
107,Huyện Kim Bôi,11
108,Huyện Cao Phong,11
109,Huyện Tân Lạc,11
110,Huyện Mai Châu,11
111,Huyện Lạc Sơn,11
112,Huyện Yên Thủy,11
113,Huyện Lạc Thủy,11
114,Thành phố Thái Nguyên,12
115,Thành phố Sông Công,12
116,Huyện Định Hóa,12
117,Huyện Phú Lương,12
118,Huyện Đồng Hỷ,12
119,Huyện Võ Nhai,12
120,Huyện Đại Từ,12
121,Thị xã Phổ Yên,12
122,Huyện Phú Bình,12
123,Thành phố Lạng Sơn,13
124,Huyện Tràng Định,13
125,Huyện Bình Gia,13
126,Huyện Văn Lãng,13
127,Huyện Cao Lộc,13
